YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,4,7,MQ,3064,N647MQ,DFW,SGF,1315,1341,26,17,1358,73,73,52,364,1450,4,1428,1454,26,0,0,,0,0,14,12,0
2015,1,4,7,US,1910,N182UW,CLT,LGA,1000,1103,63,10,1113,114,93,77,544,1230,6,1154,1236,42,0,0,,0,0,42,0,0
2015,1,5,1,WN,2856,N254WN,FLL,TPA,0925,0926,1,18,0944,60,61,38,197,1022,5,1025,1027,2,0,0,,,,,,
2015,1,6,2,DL,987,N354NW,PHL,SLC,0700,0656,-4,37,0733,313,331,287,1927,1020,7,1013,1027,14,0,0,,,,,,
2015,1,6,2,WN,974,N384SW,SAN,SEA,0720,0752,32,12,0804,180,159,142,1050,1026,5,1020,1031,11,0,0,,,,,,
2015,1,7,3,AA,1074,N3GVAA,ORD,FLL,1455,1455,0,10,1505,184,167,151,1182,1836,6,1859,1842,-17,0,0,,,,,,
2015,1,7,3,MQ,2982,N604MQ,ORD,RST,0805,0953,108,25,1018,70,72,45,268,1103,2,0915,1105,110,0,0,,2,0,0,62,46
2015,1,8,4,HA,36,N580HA,HNL,PHX,1305,1300,-5,34,1334,355,364,323,2917,2157,7,2200,2204,4,0,0,,,,,,
2015,1,8,4,OO,2722,N899SK,FAT,PHX,0615,0617,2,23,0640,98,112,84,493,0904,5,0853,0909,16,0,0,,14,0,2,0,0
2015,1,8,4,WN,1271,N214WN,MSP,ATL,1440,1714,154,37,1751,150,169,117,907,2048,15,1810,2103,173,0,0,,19,0,12,142,0
2015,1,9,5,OO,5296,N237SW,CEC,SFO,1402,1352,-10,3,1355,95,90,71,304,1506,16,1537,1522,-15,0,0,,,,,,
2015,10,1,4,AA,299,N3KLAA,11697,11298,1835,1835,0,11,1846,198,177,149,1119,2015,17,2053,2032,-21,0,0,,,,,,
2015,10,1,4,AA,379,N470AA,13342,11298,1823,1837,14,11,1848,161,143,120,853,2048,12,2104,2100,-4,0,0,,,,,,
2015,10,1,4,WN,1208,N223WN,11259,13342,2020,2134,74,9,2143,140,133,121,850,2344,3,2240,2347,67,0,0,,0,0,0,67,0
2015,10,1,4,WN,2544,N556WN,14747,13796,1805,1822,17,9,1831,125,102,87,672,1958,6,2010,2004,-6,0,0,,,,,,
2015,10,10,6,DL,1116,N985AT,10397,13232,1341,1340,-1,9,1349,123,103,89,591,1418,5,1444,1423,-21,0,0,,,,,,
2015,10,10,6,DL,1378,N911DE,10397,13931,1535,1544,9,16,1600,98,92,72,516,1712,4,1713,1716,3,0,0,,,,,,
2015,10,10,6,EV,4199,N17159,12266,13198,1130,1128,-2,19,1147,127,127,99,643,1326,9,1337,1335,-2,0,0,,,,,,
2015,10,11,7,AA,2190,N4XJAA,13256,11298,1559,1549,-10,9,1558,104,91,72,469,1710,10,1743,1720,-23,0,0,,,,,,
2015,10,11,7,B6,1916,N231JB,10792,10721,1920,1912,-8,9,1921,77,64,53,395,2014,2,2037,2016,-21,0,0,,,,,,
2015,10,11,7,B6,846,N328JB,13204,15070,1100,1056,-4,13,1109,160,167,151,989,1340,3,1340,1343,3,0,0,,,,,,
2015,10,11,7,MQ,3140,N649MQ,11298,11921,0855,0843,-12,16,0859,142,132,113,773,0952,3,1017,0955,-22,0,0,,,,,,
2015,10,12,1,UA,1023,N13248,14492,14771,1839,1945,66,22,2007,351,329,299,2400,2206,8,2130,2214,44,0,0,,0,0,3,41,0
2015,10,13,2,EV,3258,N28529,11982,12266,1050,1050,0,17,1107,61,59,35,166,1142,7,1151,1149,-2,0,0,,,,,,
2015,10,13,2,UA,1986,N77510,13930,12953,1256,1251,-5,28,1319,131,135,101,733,1600,6,1607,1606,-1,0,0,,,,,,
2015,10,13,2,WN,2955,N8316H,14107,13232,0700,0701,1,8,0709,200,185,175,1444,1204,2,1220,1206,-14,0,0,,,,,,
2015,10,13,2,WN,5014,N716SW,14122,11259,1435,1442,7,9,1451,185,155,140,1060,1611,6,1640,1617,-23,0,0,,,,,,
2015,10,13,2,WN,921,N365SW,10821,13931,1015,1043,28,16,1059,55,52,32,159,1131,4,1110,1135,25,0,0,,0,0,25,0,0
2015,10,14,3,AA,1241,N3JFAA,11433,11298,0605,0601,-4,12,0613,179,161,136,986,0729,13,0804,0742,-22,0,0,,,,,,
2015,10,14,3,AS,49,N762AS,10299,10170,1530,1521,-9,12,1533,56,63,46,253,1619,5,1626,1624,-2,0,0,,,,,,
2015,10,14,3,AS,490,N481AS,14747,14679,1100,1058,-2,38,1136,157,183,143,1050,1359,2,1337,1401,24,0,0,,24,0,0,0,0
2015,10,15,4,MQ,3581,N524MQ,12953,14492,1030,1023,-7,29,1052,112,102,66,431,1158,7,1222,1205,-17,0,0,,,,,,
2015,10,15,4,UA,1683,N12754,12266,13851,0720,0731,11,19,0750,94,84,60,395,0850,5,0854,0855,1,0,0,,,,,,
2015,10,16,5,AA,2394,N3KPAA,11298,14262,1030,1050,20,19,1109,184,175,150,1126,1139,6,1134,1145,11,0,0,,,,,,
2015,10,16,5,UA,1116,N24702,13256,12266,1333,1333,0,9,1342,82,87,49,316,1431,29,1455,1500,5,0,0,,,,,,
2015,10,17,6,MQ,3455,N513MQ,13930,12339,2200,2231,31,8,2239,75,40,29,177,0008,3,0015,0011,-4,0,0,,,,,,
2015,10,18,7,AA,1916,N725UW,14683,11057,1730,1727,-3,17,1744,170,160,135,1095,2059,8,2120,2107,-13,0,0,,,,,,
2015,10,18,7,EV,5913,N14993,13930,15412,1050,1045,-5,22,1107,94,87,62,475,1309,3,1324,1312,-12,0,0,,,,,,
2015,10,19,1,AA,1580,N3BEAA,14100,11298,0520,0626,66,20,0646,220,197,173,1303,0839,4,0800,0843,43,0,0,,0,0,43,0,0
2015,10,19,1,WN,177,N655WN,15370,11292,0635,0627,-8,12,0639,105,100,80,541,0659,8,0720,0707,-13,0,0,,,,,,
2015,10,2,5,OO,7383,N913EV,14869,11122,1113,1103,-10,24,1127,81,84,51,320,1218,9,1234,1227,-7,0,0,,,,,,
2015,10,2,5,WN,2691,N792SW,12889,14893,0745,0747,2,8,0755,85,81,69,397,0904,4,0910,0908,-2,0,0,,,,,,
2015,10,2,5,WN,303,N228WN,14027,10397,0545,0552,7,10,0602,105,93,79,545,0721,4,0730,0725,-5,0,0,,,,,,
2015,10,20,2,DL,98,N345NB,11292,11433,1210,1204,-6,10,1214,165,155,140,1123,1634,5,1655,1639,-16,0,0,,,,,,
2015,10,20,2,WN,3077,N7821L,11259,12889,0945,0942,-3,12,0954,170,162,144,1067,1018,6,1035,1024,-11,0,0,,,,,,
2015,10,23,5,AA,2001,N128UW,14100,11697,1005,1005,0,33,1038,176,154,118,992,1236,3,1301,1239,-22,0,0,,,,,,
2015,10,23,5,B6,603,N659JB,10721,14107,1830,1828,-2,15,1843,335,334,316,2300,2059,3,2105,2102,-3,0,0,,,,,,
2015,10,23,5,EV,4319,N21537,11618,15016,0709,0701,-8,26,0727,164,162,129,872,0836,7,0853,0843,-10,0,0,,,,,,
2015,10,23,5,WN,1131,N714CB,14893,11292,1530,1544,14,8,1552,135,134,117,909,1849,9,1845,1858,13,0,0,,,,,,
2015,10,23,5,WN,1718,N290WN,13204,11721,1930,1925,-5,14,1939,160,152,135,1011,2154,3,2210,2157,-13,0,0,,,,,,
2015,10,23,5,WN,2838,N276WN,13232,12889,1450,1452,2,12,1504,235,221,203,1521,1627,6,1645,1633,-12,0,0,,,,,,
2015,10,23,5,WN,3101,N8310C,14576,13232,0640,0640,0,13,0653,115,104,85,523,0718,6,0735,0724,-11,0,0,,,,,,
2015,10,24,6,DL,2308,N372DA,14747,13487,1324,1318,-6,16,1334,196,177,156,1399,1810,5,1840,1815,-25,0,0,,,,,,
2015,10,24,6,WN,3232,N485WN,13796,10800,2010,2013,3,9,2022,65,60,49,325,2111,2,2115,2113,-2,0,0,,,,,,
2015,10,24,6,WN,4720,N652SW,13796,14747,0920,0919,-1,9,0928,125,116,96,672,1104,11,1125,1115,-10,0,0,,,,,,
2015,10,25,7,AA,1864,N732US,14492,11057,1440,1437,-3,15,1452,61,50,31,130,1523,4,1541,1527,-14,0,0,,,,,,
2015,10,25,7,DL,2091,N664DN,15304,10397,1245,1238,-7,27,1305,95,100,62,406,1407,11,1420,1418,-2,0,0,,,,,,
2015,10,25,7,DL,879,N948DL,11996,10397,1828,1825,-3,15,1840,62,58,33,153,1913,10,1930,1923,-7,0,0,,,,,,
2015,10,25,7,F9,909,N927FR,15356,11433,1327,1336,9,13,1349,105,102,84,464,1513,5,1512,1518,6,0,0,,,,,,
2015,10,25,7,OO,5773,N791SK,12266,13487,1016,1032,16,16,1048,169,152,127,1034,1255,9,1305,1304,-1,0,0,,,,,,
2015,10,25,7,UA,1211,N476UA,14262,11292,1328,1319,-9,11,1330,132,116,101,776,1611,4,1640,1615,-25,0,0,,,,,,
2015,10,25,7,WN,467,N7811F,10821,14492,2025,2021,-4,16,2037,70,67,47,255,2124,4,2135,2128,-7,0,0,,,,,,
2015,10,26,1,AA,103,N434AA,11298,14831,1040,1036,-4,29,1105,224,232,198,1438,1223,5,1224,1228,4,0,0,,,,,,
2015,10,26,1,AS,696,N793AS,14747,11884,1600,1556,-4,13,1609,54,56,39,224,1648,4,1654,1652,-2,0,0,,,,,,
2015,10,26,1,B6,62,N623JB,14027,12953,1000,0959,-1,12,1011,160,148,132,1035,1223,4,1240,1227,-13,0,0,,,,,,
2015,10,26,1,OO,6296,N127SY,10397,13930,2112,2121,9,20,2141,128,115,89,606,2210,6,2220,2216,-4,0,0,,,,,,
2015,10,27,2,AS,617,N469AS,12889,14747,0915,0905,-10,13,0918,154,151,129,867,1127,9,1149,1136,-13,0,0,,,,,,
2015,10,27,2,DL,1098,N333NW,12339,11433,1020,1018,-2,18,1036,70,68,44,231,1120,6,1130,1126,-4,0,0,,,,,,
2015,10,27,2,HA,21,N399HA,14747,12173,0855,0850,-5,23,0913,360,358,327,2677,1140,8,1155,1148,-7,0,0,,,,,,
2015,10,27,2,WN,1705,N8316H,10821,14107,0830,0833,3,19,0852,310,293,268,1999,1020,6,1040,1026,-14,0,0,,,,,,
2015,10,27,2,WN,292,N758SW,14679,12889,1445,1441,-4,16,1457,70,64,43,258,1540,5,1555,1545,-10,0,0,,,,,,
2015,10,28,3,OO,3449,N216AG,11638,14057,1035,1022,-13,11,1033,114,106,91,626,1204,4,1229,1208,-21,0,0,,,,,,
2015,10,28,3,WN,3103,N266WN,13204,10529,1830,1825,-5,5,1830,160,140,128,1050,2038,7,2110,2045,-25,0,0,,,,,,
2015,10,29,4,NK,970,N619NK,11292,11697,2300,2252,-8,12,2304,218,211,190,1703,0414,9,0438,0423,-15,0,0,,,,,,
2015,10,29,4,VX,450,N524VA,10423,11259,1800,1754,-6,10,1804,55,97,36,189,1840,51,1855,1931,36,0,0,,0,0,36,0,0
2015,10,30,5,AA,435,N651AW,10397,14107,0755,0752,-3,21,0813,260,264,239,1587,0912,4,0915,0916,1,0,0,,,,,,
2015,10,30,5,WN,2379,N7721E,13796,14057,0550,0548,-2,11,0559,100,107,92,543,0731,4,0730,0735,5,0,0,,,,,,
2015,10,31,6,DL,2132,N973DL,10397,14683,0946,0940,-6,15,0955,151,151,129,874,1104,7,1117,1111,-6,0,0,,,,,,
2015,10,31,6,WN,1508,N950WN,12889,11433,1220,1220,0,12,1232,245,233,210,1749,1902,11,1925,1913,-12,0,0,,,,,,
2015,10,31,6,WN,3985,N523SW,13495,12191,0820,0816,-4,13,0829,70,,,302,,,0930,,,1,0,,,,,,
2015,10,4,7,AA,2418,N520AA,11298,12451,2015,2011,-4,24,2035,145,148,119,918,2334,5,2340,2339,-1,0,0,,,,,,
2015,10,4,7,DL,2210,N583NW,14747,12173,1055,1105,10,14,1119,364,354,336,2677,1355,4,1359,1359,0,0,0,,,,,,
2015,10,4,7,EV,2653,N673AE,11298,15624,1331,1326,-5,18,1344,116,112,88,641,1512,6,1527,1518,-9,0,0,,,,,,
2015,10,4,7,WN,3145,N490WN,13796,10713,1930,1949,19,14,2003,85,93,76,512,2219,3,2155,2222,27,0,0,,8,0,0,19,0
2015,10,5,1,EV,5790,N24103,13198,12266,1145,1148,3,17,1205,126,141,117,643,1402,7,1351,1409,18,0,0,,15,0,3,0,0
2015,10,6,2,WN,1161,N789SW,12191,11697,1025,1025,0,13,1038,145,136,117,957,1335,6,1350,1341,-9,0,0,,,,,,
2015,10,6,2,WN,1530,N7834A,14057,11292,0940,0938,-2,7,0945,150,144,130,991,1255,7,1310,1302,-8,0,0,,,,,,
2015,10,6,2,WN,667,N210WN,14893,14908,1910,1908,-2,8,1916,80,77,65,404,2021,4,2030,2025,-5,0,0,,,,,,
2015,10,7,3,DL,1866,N554NW,11433,13204,1802,1801,-1,11,1812,152,142,121,957,2013,10,2034,2023,-11,0,0,,,,,,
2015,10,7,3,EV,2799,N905EV,12448,11298,1242,1244,2,8,1252,102,90,68,408,1400,14,1424,1414,-10,0,0,,,,,,
2015,10,7,3,NK,351,N503NK,12266,13796,1220,1215,-5,10,1225,243,234,218,1628,1403,6,1423,1409,-14,0,0,,,,,,
2015,10,8,4,AS,60,N788AS,12819,14747,0849,0842,-7,19,0901,106,133,98,680,1139,16,1135,1155,20,0,0,,20,0,0,0,0
2015,10,8,4,WN,577,N7710A,13232,10693,0610,0610,0,17,0627,80,80,58,395,0725,5,0730,0730,0,0,0,,,,,,
2015,10,9,5,AA,1867,N824AW,11057,10693,1945,1953,8,18,2011,78,84,60,328,2011,6,2003,2017,14,0,0,,,,,,
2015,10,9,5,WN,1800,N735SA,13204,12391,0750,0746,-4,12,0758,150,144,128,971,1006,4,1020,1010,-10,0,0,,,,,,
2015,11,1,7,DL,1260,N336NW,MSP,SMF,1115,1112,-3,16,1128,236,237,216,1517,1304,5,1311,1309,-2,0,0,,,,,,
2015,11,1,7,DL,1760,N583NW,ATL,SEA,1955,2000,5,15,2015,337,323,302,2182,2217,6,2232,2223,-9,0,0,,,,,,
2015,11,1,7,DL,2537,N983DL,ATL,EWR,1505,1500,-5,13,1513,134,133,114,746,1707,6,1719,1713,-6,0,0,,,,,,
2015,11,1,7,EV,6133,N15985,ORD,GRR,0730,0756,26,8,0804,54,38,26,137,0930,4,0924,0934,10,0,0,,,,,,
2015,11,1,7,UA,1155,N66814,EWR,FLL,2129,2127,-2,14,2141,179,162,144,1065,0005,4,0028,0009,-19,0,0,,,,,,
2015,11,10,2,AA,1628,N3BLAA,ORD,RNO,1729,1723,-6,13,1736,263,253,237,1671,1933,3,1952,1936,-16,0,0,,,,,,
2015,11,10,2,DL,1789,N948DL,ATL,JAX,1631,1638,7,19,1657,72,67,44,270,1741,4,1743,1745,2,0,0,,,,,,
2015,11,10,2,NK,648,N533NK,SJU,FLL,1725,1719,-6,8,1727,165,164,128,1046,1835,28,1910,1903,-7,0,0,,,,,,
2015,11,10,2,WN,1408,N796SW,DEN,BOS,1810,1811,1,9,1820,225,213,193,1754,2333,11,2355,2344,-11,0,0,,,,,,
2015,11,11,3,AA,1853,N109UW,CLT,RSW,0955,0950,-5,32,1022,126,127,90,600,1152,5,1201,1157,-4,0,0,,,,,,
2015,11,11,3,UA,709,N453UA,DEN,MSN,2005,2054,49,16,2110,127,118,97,826,2347,5,2312,2352,40,0,0,,0,0,0,40,0
2015,11,11,3,WN,2876,N798SW,MSY,DCA,1035,1032,-3,8,1040,140,134,120,969,1340,6,1355,1346,-9,0,0,,,,,,
2015,11,12,4,DL,2044,N3743H,PHX,JFK,0720,0717,-3,15,0732,279,259,240,2153,1332,4,1359,1336,-23,0,0,,,,,,
2015,11,12,4,DL,552,N922DL,ATL,MSY,2145,2141,-4,13,2154,97,89,69,425,2203,7,2222,2210,-12,0,0,,,,,,
2015,11,12,4,EV,3263,N16987,XNA,IAH,1620,1615,-5,10,1625,104,98,73,438,1738,15,1804,1753,-11,0,0,,,,,,
2015,11,12,4,WN,1555,N7742B,MSY,TPA,1000,0956,-4,7,1003,85,83,72,488,1215,4,1225,1219,-6,0,0,,,,,,
2015,11,12,4,WN,2856,N367SW,LAX,SFO,0710,0707,-3,15,0722,75,74,55,337,0817,4,0825,0821,-4,0,0,,,,,,
2015,11,13,5,EV,4177,N16170,IAH,BTR,1735,1730,-5,18,1748,64,62,38,253,1826,6,1839,1832,-7,0,0,,,,,,
2015,11,13,5,MQ,3276,N602MQ,DFW,CVG,1210,1209,-1,19,1228,135,128,103,812,1511,6,1525,1517,-8,0,0,,,,,,
2015,11,14,6,AA,2392,N3BHAA,LAX,ORD,0600,0554,-6,17,0611,253,238,214,1744,1145,7,1213,1152,-21,0,0,,,,,,
2015,11,14,6,AA,857,N961UW,RDU,PHL,0655,0651,-4,29,0720,84,94,62,337,0822,3,0819,0825,6,0,0,,,,,,
