Volcano Name,Eruption Type,Start Date,Max. VEI
Kuwae,Uncertain Eruption,1979 Sep 16,0
Poas,Confirmed Eruption,1979 Sep 8,1
Etna,Confirmed Eruption,1979 Jul 16,3
Krakatau,Confirmed Eruption,1979 Jul 15,2
Myojinsho,Uncertain Eruption,1979 Jul 13,0
Nikko,Uncertain Eruption,1979 Jul 12,0
Etna,Confirmed Eruption,1979 Jul 3,2
Epi,Confirmed Eruption,1979 Jul 2,0
Lopevi,Confirmed Eruption,1979 Jul 2,2
Peuet Sague,Confirmed Eruption,1979 Jul 2,2
Ruapehu,Confirmed Eruption,1979 Jun 30,1
Ambrym,Confirmed Eruption,1979 Jun 6,2
Asosan,Confirmed Eruption,1979 Jun 5,2
Karangetang,Confirmed Eruption,1979 May 31,1
"Fournaise, Piton de la",Confirmed Eruption,1979 May 28,1
Curacoa,Confirmed Eruption,1979 May 14,1
Lateiki,Confirmed Eruption,1979 May 10,2
Fukujin,Uncertain Eruption,1979 Apr 26,0
Chirinkotan,Confirmed Eruption,1979 Apr 16,2
Carran-Los Venados,Confirmed Eruption,1979 Apr 14,2
Soufriere St. Vincent,Confirmed Eruption,1979 Apr 13,3
Lautaro,Confirmed Eruption,1979 Mar 8,2
Dieng Volcanic Complex,Confirmed Eruption,1979 Feb 20,1
Kirishimayama,Confirmed Eruption,1979 Feb 16,1
Monowai,Confirmed Eruption,1979 Feb 16,1
Shishaldin,Confirmed Eruption,1979 Feb 16,2
Bezymianny,Confirmed Eruption,1979 Feb 11,3
Westdahl,Uncertain Eruption,1979 Feb 8,3
"Azul, Cerro",Confirmed Eruption,1979 Jan 29,2
Ambrym,Confirmed Eruption,1979 Jan 26,2
Karkar,Confirmed Eruption,1979 Jan 12,2
Shikotsu,Confirmed Eruption,1978 Dec 12,1
Ioto,Confirmed Eruption,1978 Dec 11,1
Lopevi,Confirmed Eruption,1978 Nov 22,2
Nishinoshima,Uncertain Eruption,1978 Nov 16,0
Iliamna,Discredited Eruption,1978 Nov 7,--
Ardoukoba,Confirmed Eruption,1978 Nov 7,1
Akutan,Confirmed Eruption,1978 Sep 25,2
Poas,Confirmed Eruption,1978 Sep 22,1
Bezymianny,Confirmed Eruption,1978 Sep 8,2
Fukujin,Uncertain Eruption,1978 Aug 24,0
Fernandina,Confirmed Eruption,1978 Aug 8,2
Bulusan,Confirmed Eruption,1978 Jul 29,2
Chachadake [Tiatia],Confirmed Eruption,1978 Jul 20,2
Krakatau,Confirmed Eruption,1978 Jul 10,1
Kanlaon,Confirmed Eruption,1978 Jun 27,2
Kavachi,Confirmed Eruption,1978 Jun 21,2
Lautaro,Confirmed Eruption,1978 Jun 16,1
Shikotsu,Confirmed Eruption,1978 May 14,1
Ulawun,Confirmed Eruption,1978 May 7,3
Etna,Confirmed Eruption,1978 Apr 29,2
Concepcion,Confirmed Eruption,1978 Mar 30,2
Mayon,Confirmed Eruption,1978 Mar 7,2
Okataina,Confirmed Eruption,1978 Feb 23,1
Karangetang,Confirmed Eruption,1978 Feb 22,1
Monowai,Confirmed Eruption,1978 Feb 16,0
Shishaldin,Confirmed Eruption,1978 Feb 8,2
Westdahl,Confirmed Eruption,1978 Feb 4,3
Minami-Hiyoshi,Uncertain Eruption,1978 Jan 26,0
Raung,Confirmed Eruption,1978 Jan 16,1
Didicas,Confirmed Eruption,1978 Jan 6,2
Poas,Confirmed Eruption,1977 Dec 18,2
Colima,Confirmed Eruption,1977 Dec 16,1
Macdonald,Confirmed Eruption,1977 Dec 10,0
Azumayama,Confirmed Eruption,1977 Dec 7,1
Mahawu,Confirmed Eruption,1977 Nov 16,0
Kick 'em Jenny,Confirmed Eruption,1977 Nov 11,0
"Fournaise, Piton de la",Confirmed Eruption,1977 Oct 24,1
Monowai,Confirmed Eruption,1977 Oct 17,0
Sumisujima,Uncertain Eruption,1977 Oct 16,0
San Cristobal,Confirmed Eruption,1977 Oct 16,2
Fukujin,Uncertain Eruption,1977 Oct 14,0
Taal,Confirmed Eruption,1977 Oct 3,2
Kilauea,Confirmed Eruption,1977 Sep 13,0
Fuego,Confirmed Eruption,1977 Sep 11,2
Ambrym,Confirmed Eruption,1977 Aug 16,2
Toya,Confirmed Eruption,1977 Aug 7,3
Klyuchevskoy,Confirmed Eruption,1977 Aug 2,3
Kavachi,Confirmed Eruption,1977 Jul 17,1
Ruapehu,Confirmed Eruption,1977 Jul 16,2
Tongariro,Confirmed Eruption,1977 Jul 4,1
Raung,Confirmed Eruption,1977 Jun 9,2
Poas,Confirmed Eruption,1977 May 16,1
Krafla,Confirmed Eruption,1977 Apr 27,1
Monowai,Confirmed Eruption,1977 Apr 16,0
Gaua,Confirmed Eruption,1977 Apr 13,2
Asosan,Confirmed Eruption,1977 Apr 11,2
Karthala,Confirmed Eruption,1977 Apr 5,1
Concepcion,Confirmed Eruption,1977 Apr 4,2
Ukinrek Maars,Confirmed Eruption,1977 Mar 30,3
Bezymianny,Confirmed Eruption,1977 Mar 25,3
"Fournaise, Piton de la",Confirmed Eruption,1977 Mar 24,0
Fernandina,Confirmed Eruption,1977 Mar 23,1
Purace,Confirmed Eruption,1977 Mar 19,2
Seguam,Confirmed Eruption,1977 Mar 6,1
Fuego,Confirmed Eruption,1977 Mar 3,1
Irazu,Confirmed Eruption,1977 Mar 3,1
Kavachi,Confirmed Eruption,1977 Feb 22,1
Kuwae,Uncertain Eruption,1977 Feb 1,0
Villarrica,Confirmed Eruption,1977 Jan 26,1
Ambrym,Confirmed Eruption,1977 Jan 20,2
Kick 'em Jenny,Confirmed Eruption,1977 Jan 14,0
Nyiragongo,Confirmed Eruption,1977 Jan 10,1
Nyamulagira,Confirmed Eruption,1976 Dec 23,1
Minami-Hiyoshi,Uncertain Eruption,1976 Dec 20,0
Whakaari/White Island,Confirmed Eruption,1976 Dec 18,3
San Miguel,Confirmed Eruption,1976 Dec 2,1
Matthew Island,Uncertain Eruption,1976 Nov 27,1
Telica,Confirmed Eruption,1976 Nov 3,1
"Fournaise, Piton de la",Confirmed Eruption,1976 Nov 2,1
Akutan,Confirmed Eruption,1976 Oct 15,2
Sarychev Peak,Confirmed Eruption,1976 Sep 23,2
Karangetang,Confirmed Eruption,1976 Sep 15,2
Ruapehu,Confirmed Eruption,1976 Sep 12,1
Taal,Confirmed Eruption,1976 Sep 3,2
San Cristobal,Confirmed Eruption,1976 Aug 29,1
Kavachi,Confirmed Eruption,1976 Aug 24,1
Tongariro,Confirmed Eruption,1976 Aug 23,1
Sumisujima,Uncertain Eruption,1976 Aug 16,0
Fukujin,Uncertain Eruption,1976 Aug 2,0
Fukutoku-Oka-no-Ba,Uncertain Eruption,1976 Aug 2,0
Soufriere Guadeloupe,Confirmed Eruption,1976 Jul 8,2
Korovin,Uncertain Eruption,1976 Jul 2,--
Poas,Confirmed Eruption,1976 Jun 21,2
Raung,Confirmed Eruption,1976 Jun 7,2
Lopevi,Confirmed Eruption,1976 May 1,1
Kuchinoerabujima,Confirmed Eruption,1976 Apr 2,2
Batur,Uncertain Eruption,1976 Mar 26,1
Bezymianny,Confirmed Eruption,1976 Mar 25,2
San Cristobal,Confirmed Eruption,1976 Mar 9,1
Iliwerung,Uncertain Eruption,1976 Mar 8,0
Ruapehu,Confirmed Eruption,1976 Mar 6,1
Kusatsu-Shiranesan,Confirmed Eruption,1976 Mar 2,1
Minami-Hiyoshi,Uncertain Eruption,1976 Feb 16,0
Augustine,Confirmed Eruption,1976 Jan 22,4
Shishaldin,Confirmed Eruption,1976 Jan 16,2
Ioto,Confirmed Eruption,1976 Jan 16,1
Gaua,Confirmed Eruption,1976 Jan 15,2
Reventador,Confirmed Eruption,1976 Jan 4,2
Long Island,Confirmed Eruption,1976 Jan 2,1
Axial Seamount,Confirmed Eruption,1976 Jan 1,0
Krafla,Confirmed Eruption,1975 Dec 20,0
Colima,Confirmed Eruption,1975 Dec 11,2
Kilauea,Confirmed Eruption,1975 Nov 29,0
Kasuga 1,Uncertain Eruption,1975 Nov 16,0
Lokon-Empung,Confirmed Eruption,1975 Nov 16,2
"Fournaise, Piton de la",Confirmed Eruption,1975 Nov 4,1
Ruapehu,Confirmed Eruption,1975 Oct 17,1
Asosan,Confirmed Eruption,1975 Oct 16,1
Izu-Torishima,Confirmed Eruption,1975 Oct 2,2
Cleveland,Uncertain Eruption,1975 Sep 16,--
Shishaldin,Confirmed Eruption,1975 Sep 13,2
Pavlof,Confirmed Eruption,1975 Sep 13,2
Minami-Hiyoshi,Confirmed Eruption,1975 Aug 25,0
Loihi,Uncertain Eruption,1975 Aug 24,0
Kavachi,Confirmed Eruption,1975 Aug 16,1
Sumisujima,Uncertain Eruption,1975 Aug 13,0
Mauna Loa,Confirmed Eruption,1975 Jul 5,0
Nishinoshima,Uncertain Eruption,1975 Jul 2,0
Sofugan,Uncertain Eruption,1975 Jul 2,0
Southern Thule,Confirmed Eruption,1975 Jul 2,1
Tolbachik,Confirmed Eruption,1975 Jun 28,4
Fuego,Confirmed Eruption,1975 May 28,1
Telica,Confirmed Eruption,1975 May 16,0
Esmeralda Bank,Uncertain Eruption,1975 Apr 26,0
Ruapehu,Confirmed Eruption,1975 Apr 24,2
Krakatau,Confirmed Eruption,1975 Mar 27,2
Raung,Confirmed Eruption,1975 Mar 16,1
Lopevi,Confirmed Eruption,1975 Mar 6,2
Etna,Confirmed Eruption,1975 Feb 24,1
Tongariro,Confirmed Eruption,1975 Feb 12,3
Marapi,Confirmed Eruption,1975 Jan 16,2
Kilauea,Confirmed Eruption,1974 Dec 31,0
Karkar,Confirmed Eruption,1974 Dec 30,2
Fukutoku-Oka-no-Ba,Confirmed Eruption,1974 Dec 24,2
Epi,Uncertain Eruption,1974 Nov 16,0
Kavachi,Confirmed Eruption,1974 Nov 12,1
Ritter Island,Confirmed Eruption,1974 Oct 17,1
Fuego,Confirmed Eruption,1974 Oct 10,4
Etna,Confirmed Eruption,1974 Sep 29,2
Kilauea,Confirmed Eruption,1974 Sep 19,0
Poas,Confirmed Eruption,1974 Sep 11,2
Whakaari/White Island,Confirmed Eruption,1974 Sep 8,2
Kick 'em Jenny,Confirmed Eruption,1974 Sep 5,0
Pavlof,Confirmed Eruption,1974 Sep 1,3
"Lengai, Ol Doinyo",Discredited Eruption,1974 Aug 16,--
Niigata-Yakeyama,Confirmed Eruption,1974 Jul 28,2
Central Island,Uncertain Eruption,1974 Jul 22,1
Kilauea,Confirmed Eruption,1974 Jul 19,0
Lascar,Uncertain Eruption,1974 Jul 16,1
Trident,Confirmed Eruption,1974 Jul 15,3
Sumisujima,Uncertain Eruption,1974 Jul 6,0
Chachadake [Tiatia],Discredited Eruption,1974 Jul 2,--
Galeras,Confirmed Eruption,1974 Jul 2,1
Raung,Confirmed Eruption,1974 Jun 15,2
Kuchinoerabujima,Confirmed Eruption,1974 Jun 3,1
Slamet,Uncertain Eruption,1974 May 29,2
Klyuchevskoy,Confirmed Eruption,1974 Apr 8,3
Pavlof,Confirmed Eruption,1974 Mar 12,1
Batur,Confirmed Eruption,1974 Mar 12,2
Manam,Confirmed Eruption,1974 Mar 4,3
Irazu,Discredited Eruption,1974 Mar 2,--
Chokaisan,Confirmed Eruption,1974 Mar 1,1
Izu-Oshima,Confirmed Eruption,1974 Feb 28,1
Dempo,Confirmed Eruption,1974 Feb 26,2
Great Sitkin,Confirmed Eruption,1974 Feb 19,2
Fonualei,Uncertain Eruption,1974 Feb 16,1
Karkar,Confirmed Eruption,1974 Feb 14,2
Akutan,Confirmed Eruption,1974 Feb 11,2
Kuwae,Confirmed Eruption,1974 Feb 4,0
Etna,Confirmed Eruption,1974 Jan 30,2
Lopevi,Confirmed Eruption,1974 Jan 16,2
Ioto,Uncertain Eruption,1974 Jan 16,0
Concepcion,Confirmed Eruption,1973 Dec 24,2
Fukutoku-Oka-no-Ba,Confirmed Eruption,1973 Dec 18,2
Fernandina,Confirmed Eruption,1973 Dec 9,2
Iliwerung,Confirmed Eruption,1973 Dec 5,2
Reventador,Confirmed Eruption,1973 Nov 16,3
Pavlof,Confirmed Eruption,1973 Nov 12,2
Kilauea,Confirmed Eruption,1973 Nov 10,0
Kuchinoerabujima,Confirmed Eruption,1973 Nov 5,2
Ruapehu,Confirmed Eruption,1973 Oct 31,1
Paluweh,Confirmed Eruption,1973 Oct 27,2
Wolf,Uncertain Eruption,1973 Oct 25,--
Tolbachik,Uncertain Eruption,1973 Oct 16,1
Rumble III,Confirmed Eruption,1973 Oct 15,0
Gaua,Confirmed Eruption,1973 Oct 9,2
Ulawun,Confirmed Eruption,1973 Oct 4,2
Fukujin,Confirmed Eruption,1973 Sep 27,1
Lokon-Empung,Confirmed Eruption,1973 Sep 15,1
Korovin,Confirmed Eruption,1973 Aug 25,0
Slamet,Confirmed Eruption,1973 Aug 16,1
Chikurachki,Confirmed Eruption,1973 Aug 10,2
Kolokol Group,Confirmed Eruption,1973 Jul 25,1
Marapi,Confirmed Eruption,1973 Jul 24,2
"Chillan, Nevados de",Confirmed Eruption,1973 Jul 16,2
Chachadake [Tiatia],Confirmed Eruption,1973 Jul 14,4
Curacoa,Confirmed Eruption,1973 Jul 11,3
Vailulu'u,Confirmed Eruption,1973 Jul 10,0
Alaid,Uncertain Eruption,1973 Jul 2,--
Etorofu-Yakeyama [Grozny Group],Confirmed Eruption,1973 May 16,2
Raung,Confirmed Eruption,1973 May 16,1
Galeras,Uncertain Eruption,1973 May 16,2
"Fournaise, Piton de la",Confirmed Eruption,1973 May 10,2
Epi,Uncertain Eruption,1973 May 5,0
Kuwae,Uncertain Eruption,1973 May 5,0
Kilauea,Confirmed Eruption,1973 May 5,0
Long Island,Confirmed Eruption,1973 Apr 16,2
Iliboleng,Confirmed Eruption,1973 Apr 16,2
Ambrym,Confirmed Eruption,1973 Apr 15,3
Nishinoshima,Confirmed Eruption,1973 Apr 12,2
Batur,Uncertain Eruption,1973 Mar 30,1
Akutan,Confirmed Eruption,1973 Mar 16,2
Langila,Confirmed Eruption,1973 Feb 24,3
Fuego,Confirmed Eruption,1973 Feb 23,2
Okataina,Confirmed Eruption,1973 Feb 22,1
Asamayama,Confirmed Eruption,1973 Feb 1,2
Colima,Uncertain Eruption,1973 Jan 30,1
Dempo,Confirmed Eruption,1973 Jan 24,2
Vestmannaeyjar,Confirmed Eruption,1973 Jan 23,3
Asosan,Confirmed Eruption,1973 Jan 16,2
Etorofu-Yakeyama [Grozny Group],Confirmed Eruption,1973 Jan 16,1
Jan Mayen,Confirmed Eruption,1973 Jan 15,1
Soputan,Confirmed Eruption,1973 Jan 6,2
Erebus,Confirmed Eruption,1972 Dec 16,2
Tongariro,Confirmed Eruption,1972 Nov 22,3
Acatenango,Confirmed Eruption,1972 Nov 12,1
Kavachi,Confirmed Eruption,1972 Oct 24,0
Ruapehu,Confirmed Eruption,1972 Oct 22,1
Paluweh,Confirmed Eruption,1972 Oct 22,3
Ritter Island,Confirmed Eruption,1972 Oct 9,1
Merapi,Confirmed Eruption,1972 Oct 6,2
Fukutoku-Oka-no-Ba,Uncertain Eruption,1972 Oct 1,0
Deception Island,Uncertain Eruption,1972 Sep 29,--
Akutan,Uncertain Eruption,1972 Sep 16,2
Karthala,Confirmed Eruption,1972 Sep 8,1
Kuchinoerabujima,Confirmed Eruption,1972 Sep 2,2
Calbuco,Confirmed Eruption,1972 Aug 26,2
Reventador,Confirmed Eruption,1972 Jul 16,2
Kick 'em Jenny,Confirmed Eruption,1972 Jul 5,0
Rocard,Confirmed Eruption,1972 Jul 4,0
Bagana,Confirmed Eruption,1972 Jul 2,2
Lautaro,Confirmed Eruption,1972 Jul 2,1
"Chillan, Nevados de",Uncertain Eruption,1972 Jul 2,--
Antuco,Discredited Eruption,1972 Jul 2,--
Lascar,Uncertain Eruption,1972 Jul 2,2
Putana,Uncertain Eruption,1972 Jul 2,--
Galapagos Rift,Confirmed Eruption,1972 Jun 29,0
Alaid,Confirmed Eruption,1972 Jun 18,3
Krakatau,Confirmed Eruption,1972 Jun 10,2
"Fournaise, Piton de la",Confirmed Eruption,1972 Jun 9,2
Fernandina,Confirmed Eruption,1972 Jun 4,0
Epi,Uncertain Eruption,1972 May 15,0
Unnamed,Confirmed Eruption,1972 Apr 29,0
Ambrym,Confirmed Eruption,1972 Apr 15,3
Tongariro,Confirmed Eruption,1972 Mar 19,2
Zheltovsky,Uncertain Eruption,1972 Mar 16,1
Grimsvotn,Uncertain Eruption,1972 Mar 16,0
Kuwae,Uncertain Eruption,1972 Mar 5,0
Poas,Confirmed Eruption,1972 Feb 9,2
Tengger Caldera,Confirmed Eruption,1972 Jan 26,2
Batur,Confirmed Eruption,1972 Jan 19,2
Karangetang,Confirmed Eruption,1972 Jan 16,3
Central Bismarck Sea,Confirmed Eruption,1972 Jan 8,0
Erebus,Confirmed Eruption,1972 Jan 3,1
Llaima,Confirmed Eruption,1971 Dec 1,2
Klyuchevskoy,Confirmed Eruption,1971 Nov 16,1
Sundoro,Confirmed Eruption,1971 Oct 29,2
Villarrica,Confirmed Eruption,1971 Oct 29,2
Epi,Uncertain Eruption,1971 Oct 28,0
La Palma,Confirmed Eruption,1971 Oct 26,2
Augustine,Confirmed Eruption,1971 Oct 7,1
Soufriere St. Vincent,Confirmed Eruption,1971 Oct 4,0
Kilauea,Confirmed Eruption,1971 Sep 24,0
Etna,Confirmed Eruption,1971 Sep 19,2
Loihi,Uncertain Eruption,1971 Sep 17,0
Fuego,Confirmed Eruption,1971 Sep 14,3
Raung,Confirmed Eruption,1971 Sep 14,1
Tinakula,Confirmed Eruption,1971 Sep 6,2
Rocard,Confirmed Eruption,1971 Sep 6,0
Kilauea,Confirmed Eruption,1971 Aug 14,0
"Hudson, Cerro",Confirmed Eruption,1971 Aug 12,3
Kirishimayama,Confirmed Eruption,1971 Aug 5,1
Whakaari/White Island,Confirmed Eruption,1971 Jul 19,2
Chiginagak,Confirmed Eruption,1971 Jul 16,2
Ebeko,Uncertain Eruption,1971 Jul 2,1
Klyuchevskoy,Confirmed Eruption,1971 Jun 16,1
Iya,Uncertain Eruption,1971 Jun 16,1
Kerinci,Uncertain Eruption,1971 Jun 16,1
Soputan,Confirmed Eruption,1971 May 19,1
Gaua,Confirmed Eruption,1971 May 12,2
Lokon-Empung,Confirmed Eruption,1971 May 11,2
San Cristobal,Confirmed Eruption,1971 May 3,1
Whakaari/White Island,Confirmed Eruption,1971 Apr 9,2
Etna,Confirmed Eruption,1971 Apr 5,2
Izu-Oshima,Confirmed Eruption,1971 Apr 5,1
Ruapehu,Confirmed Eruption,1971 Apr 3,2
Nyamulagira,Confirmed Eruption,1971 Mar 24,3
Myojinsho,Uncertain Eruption,1971 Mar 18,0
Bezymianny,Confirmed Eruption,1971 Mar 16,3
Batur,Confirmed Eruption,1971 Mar 11,1
Kuwae,Confirmed Eruption,1971 Feb 22,2
Ambrym,Confirmed Eruption,1971 Feb 3,2
"Negro, Cerro",Confirmed Eruption,1971 Feb 3,3
Langila,Confirmed Eruption,1971 Jan 26,2
Lewotobi,Confirmed Eruption,1971 Jan 16,2
Merapi,Uncertain Eruption,1971 Jan 16,1
Karangetang,Confirmed Eruption,1970 Nov 27,2
Taal,Confirmed Eruption,1970 Nov 9,1
Akita-Komagatake,Confirmed Eruption,1970 Sep 18,2
Jan Mayen,Confirmed Eruption,1970 Sep 18,3
Tolbachik,Confirmed Eruption,1970 Sep 16,2
Ruapehu,Confirmed Eruption,1970 Sep 16,1
Kuwae,Uncertain Eruption,1970 Sep 12,0
Rincon de la Vieja,Confirmed Eruption,1970 Aug 14,1
Deception Island,Confirmed Eruption,1970 Aug 12,3
Marapi,Confirmed Eruption,1970 Jul 26,2
Poas,Confirmed Eruption,1970 Jul 16,1
Reykjanes,Uncertain Eruption,1970 Jul 2,0
Sorikmarapi,Confirmed Eruption,1970 Jul 2,2
Lewotobi,Confirmed Eruption,1970 Jul 2,2
Sirung,Confirmed Eruption,1970 Jul 2,2
Rumble III,Confirmed Eruption,1970 Jul 2,0
Etorofu-Yakeyama [Grozny Group],Confirmed Eruption,1970 Jul 2,1
Esmeralda Bank,Uncertain Eruption,1970 Jul 2,0
Izu-Oshima,Confirmed Eruption,1970 Jun 30,1
Whakaari/White Island,Confirmed Eruption,1970 Jun 30,2
Moua Pihaa,Confirmed Eruption,1970 Jun 21,0
Kanlaon,Confirmed Eruption,1970 Jun 5,1
Klyuchevskoy,Confirmed Eruption,1970 May 26,2
Bagana,Confirmed Eruption,1970 May 21,2
Langila,Confirmed Eruption,1970 May 20,2
Karymsky,Confirmed Eruption,1970 May 11,3
Lopevi,Confirmed Eruption,1970 May 9,2
Hekla,Confirmed Eruption,1970 May 5,3
Asosan,Confirmed Eruption,1970 Apr 21,2
San Miguel,Confirmed Eruption,1970 Mar 30,1
Kolokol Group,Confirmed Eruption,1970 Feb 16,3
Soputan,Confirmed Eruption,1970 Feb 16,2
Myojinsho,Confirmed Eruption,1970 Jan 29,2
Izu-Oshima,Confirmed Eruption,1970 Jan 26,1
Tolbachik,Confirmed Eruption,1970 Jan 16,1
Ulawun,Confirmed Eruption,1970 Jan 15,3
Batur,Confirmed Eruption,1970 Jan 5,1
Unnamed,Uncertain Eruption,1970 Jan 3,0
"Negro, Cerro",Confirmed Eruption,1969 Dec 19,1
Ioto,Confirmed Eruption,1969 Dec 1,1
Lokon-Empung,Confirmed Eruption,1969 Nov 27,2
Taal,Confirmed Eruption,1969 Oct 29,2
Kavachi,Confirmed Eruption,1969 Oct 28,2
Kanlaon,Confirmed Eruption,1969 Oct 10,2
Langila,Confirmed Eruption,1969 Sep 29,2
Gaua,Confirmed Eruption,1969 Sep 22,2
Rincon de la Vieja,Confirmed Eruption,1969 Sep 20,2
Klyuchevskoy,Confirmed Eruption,1969 Sep 16,2
Kiska,Confirmed Eruption,1969 Sep 11,2
Wrangell,Uncertain Eruption,1969 Aug 16,1
Whakaari/White Island,Confirmed Eruption,1969 Aug 16,2
Tangkuban Parahu,Confirmed Eruption,1969 Jul 20,1
"Lengai, Ol Doinyo",Uncertain Eruption,1969 Jul 16,--
Kerinci,Confirmed Eruption,1969 Jul 2,2
Krakatau,Uncertain Eruption,1969 Jul 2,2
Slamet,Confirmed Eruption,1969 Jun 23,2
Ruapehu,Confirmed Eruption,1969 Jun 22,2
Ubinas,Confirmed Eruption,1969 Jun 16,2
Kilauea,Confirmed Eruption,1969 May 24,0
Lascar,Confirmed Eruption,1969 May 16,1
Poas,Confirmed Eruption,1969 May 3,2
Rincon de la Vieja,Confirmed Eruption,1969 Apr 22,2
Moua Pihaa,Confirmed Eruption,1969 Apr 22,0
Didicas,Confirmed Eruption,1969 Mar 21,2
Supply Reef,Confirmed Eruption,1969 Mar 11,0
Ebulobo,Confirmed Eruption,1969 Feb 27,2
Kilauea,Confirmed Eruption,1969 Feb 22,0
Deception Island,Confirmed Eruption,1969 Feb 21,3
Ebeko,Confirmed Eruption,1969 Feb 16,1
Telica,Confirmed Eruption,1969 Feb 11,2
Iya,Confirmed Eruption,1969 Jan 27,3
Tongariro,Confirmed Eruption,1969 Jan 21,2
Izu-Oshima,Confirmed Eruption,1969 Jan 19,1
Ioto,Confirmed Eruption,1969 Jan 12,1
Kuchinoerabujima,Confirmed Eruption,1968 Dec 21,3
Marapi,Uncertain Eruption,1968 Dec 16,1
Lewotobi,Confirmed Eruption,1968 Nov 28,2
Trident,Confirmed Eruption,1968 Nov 13,3
"Negro, Cerro",Confirmed Eruption,1968 Oct 23,3
Kilauea,Confirmed Eruption,1968 Oct 7,0
Fukujin,Confirmed Eruption,1968 Sep 16,0
Talang,Confirmed Eruption,1968 Sep 16,2
Banua Wuhu,Uncertain Eruption,1968 Sep 5,0
Kilauea,Confirmed Eruption,1968 Aug 22,0
Tongariro,Confirmed Eruption,1968 Aug 18,2
Bagana,Confirmed Eruption,1968 Aug 16,2
Awu,Uncertain Eruption,1968 Aug 16,2
Kita-Ioto,Uncertain Eruption,1968 Aug 16,0
Fukutoku-Oka-no-Ba,Uncertain Eruption,1968 Aug 14,0
Arenal,Confirmed Eruption,1968 Jul 29,3
Izu-Oshima,Confirmed Eruption,1968 Jul 28,1
Io-Torishima,Confirmed Eruption,1968 Jul 18,1
Soputan,Confirmed Eruption,1968 Jul 16,1
Vulcano,Discredited Eruption,1968 Jul 11,--
Klyuchevskoy,Confirmed Eruption,1968 Jul 3,3
Tolbachik,Confirmed Eruption,1968 Jul 2,1
Gaua,Confirmed Eruption,1968 Jul 2,2
Poas,Confirmed Eruption,1968 Jul 2,1
Tupungatito,Confirmed Eruption,1968 Jul 2,2
"Azul, Cerro",Uncertain Eruption,1968 Jun 12,--
Fernandina,Confirmed Eruption,1968 Jun 11,4
Kelimutu,Confirmed Eruption,1968 Jun 3,1
Kverkfjoll,Confirmed Eruption,1968 May 23,0
Fernandina,Confirmed Eruption,1968 May 21,2
Nila,Confirmed Eruption,1968 May 7,1
Mayon,Confirmed Eruption,1968 Apr 21,3
Ruapehu,Confirmed Eruption,1968 Apr 6,2
Long Island,Confirmed Eruption,1968 Mar 16,2
Etorofu-Yakeyama [Grozny Group],Confirmed Eruption,1968 Feb 16,1
Fukutoku-Oka-no-Ba,Uncertain Eruption,1968 Feb 9,0
Kerinci,Confirmed Eruption,1968 Feb 3,2
Taal,Confirmed Eruption,1968 Jan 31,2
Whakaari/White Island,Confirmed Eruption,1968 Jan 27,3
Batur,Confirmed Eruption,1968 Jan 23,2
Izu-Oshima,Confirmed Eruption,1968 Jan 19,1
Talang,Confirmed Eruption,1968 Jan 14,1
Etna,Confirmed Eruption,1968 Jan 7,0
Ioto,Confirmed Eruption,1967 Dec 23,1
Lateiki,Confirmed Eruption,1967 Dec 11,2
Kelut,Confirmed Eruption,1967 Dec 11,1
Redoubt,Confirmed Eruption,1967 Dec 6,3
Deception Island,Confirmed Eruption,1967 Dec 4,3
Karangetang,Confirmed Eruption,1967 Nov 29,2
Io-Torishima,Confirmed Eruption,1967 Nov 25,1
Karymsky,Confirmed Eruption,1967 Nov 16,1
Kilauea,Confirmed Eruption,1967 Nov 5,0
Kerinci,Confirmed Eruption,1967 Nov 2,2
Tolbachik,Confirmed Eruption,1967 Oct 16,2
Talang,Confirmed Eruption,1967 Oct 10,1
Chikurachki,Confirmed Eruption,1967 Sep 6,2
Trident,Confirmed Eruption,1967 Sep 5,3
Semeru,Confirmed Eruption,1967 Aug 31,3
Taal,Confirmed Eruption,1967 Aug 16,1
"Azul, Cerro",Confirmed Eruption,1967 Aug 9,2
Irazu,Discredited Eruption,1967 Aug 7,--
Ruapehu,Confirmed Eruption,1967 Jul 22,1
Gaua,Confirmed Eruption,1967 Jul 16,2
Ambrym,Confirmed Eruption,1967 Jul 16,2
Tangkuban Parahu,Confirmed Eruption,1967 Jul 16,1
"Lengai, Ol Doinyo",Confirmed Eruption,1967 Jul 8,3
Erta Ale,Confirmed Eruption,1967 Jul 2,0
Tambora,Confirmed Eruption,1967 Jul 2,0
Klyuchevskoy,Confirmed Eruption,1967 Jul 2,1
Fukutoku-Oka-no-Ba,Uncertain Eruption,1967 Jul 1,0
Macdonald,Confirmed Eruption,1967 May 29,0
Izu-Oshima,Confirmed Eruption,1967 May 16,1
Asosan,Confirmed Eruption,1967 May 16,1
Slamet,Confirmed Eruption,1967 May 7,2
Unnamed,Uncertain Eruption,1967 Apr 26,--
Nyamulagira,Confirmed Eruption,1967 Apr 23,2
Fuego,Confirmed Eruption,1967 Apr 22,2
Marapi,Confirmed Eruption,1967 Apr 16,1
Farallon de Pajaros,Confirmed Eruption,1967 Mar 27,0
Tolbachik,Confirmed Eruption,1967 Mar 16,2
Kelut,Confirmed Eruption,1967 Feb 18,1
Planchon-Peteroa,Uncertain Eruption,1967 Feb 16,1
Shishaldin,Confirmed Eruption,1967 Jan 28,2
